geo,time,pop1,pop2,pop3,pop4,pop5
eri,1801,1304006457,1427642,1606195,18594,1075063
est,1801,462875387,852639,630755,2089,1174186
eth,1801,1281137087,1017980,1734300,76497,1404944
fji,1801,366586752,1068783,1853436,16099,180825
fin,1801,320269715,1747239,1458771,24643,1301823
fra,1801,6746985,22073,1509152,37340,818807
gab,1801,121717764,1147366,1698749,100971,1094752
gmb,1801,488180107,1113019,491037,77581,1533921
geo,1801,1193621943,435638,665953,57439,1227900
deu,1801,1069321392,1398293,1613269,107389,1618893
gha,1801,226987077,900674,274285,10576,691662
grc,1801,629114111,360205,1935980,125420,168849
gtm,1801,1239640390,1228168,795167,12027,1035036
gin,1801,699522426,1905103,321407,94302,456781
gnb,1801,730468312,1775409,330984,33542,1152613
guy,1801,1195730499,1536431,1577131,93326,1886598
hti,1801,1364720578,734424,662771,63157,367705
hnd,1801,795389335,441946,1940378,52730,1727578
hun,1801,301647148,1909733,367718,127485,800506
ind,1801,1380370081,1187367,1276224,60586,1827324
idn,1801,600116353,1391254,609762,33847,550451
irn,1801,143483476,1315539,903920,108278,1247267
irq,1801,1296384805,641164,464163,115334,677540
irl,1801,810055324,1632308,1552617,72393,1581179
isr,1801,645104766,1728694,538368,111745,1913522
ita,1801,302064627,1114531,1741666,103798,312349
jam,1801,1216369939,1989841,557317,5929,202034
jpn,1801,994968020,498246,879901,36998,727966
jor,1801,38641335,430102,1271645,69796,984341
kaz,1801,695987513,1879112,1204143,127470,572518
ken,1801,240477286,1042283,1765016,11522,1105265
kwt,1801,491511295,109001,1882908,7158,313190
kgz,1801,656088450,6068,1002740,62658,492912
lao,1801,813859517,842127,382110,20523,767329
lva,1801,945040481,1433188,955093,56799,1188329
lbn,1801,179049606,1419179,689688,65508,1745384
lso,1801,1116031681,1118129,1868311,119332,1286836
lbr,1801,427562921,1120034,725879,19150,970964
lby,1801,369132946,1307869,466561,938,1135085
ltu,1801,1034975318,1232582,1014930,117481,205937
lux,1801,895173584,1169268,397880,46203,78920
mkd,1801,30323444,766535,776631,101670,1687274
mdg,1801,1391766916,660855,184927,84719,1865015
mwi,1801,1159011554,1138658,1182332,67373,71575
mys,1801,209070561,1160492,1522045,50495,1141991
mli,1801,1203671748,420780,1095525,21361,851221
mrt,1801,229051266,778474,896040,106793,1566950
mus,1801,843697960,175437,22228,22626,331205
mex,1801,11020323,1281007,1593951,40848,1321260
mda,1801,910522963,428945,428349,67390,880168
mng,1801,1212642995,559810,1742022,8711,912078
mne,1801,155726242,948515,79869,91164,1633104
mar,1801,82936462,686194,511184,72932,413314
moz,1801,603066282,1952372,79277,70663,343934
mmr,1801,532624264,1368554,1692990,14278,1657864
nam,1801,28677586,267906,1370147,36250,631451
npl,1801,538981862,1070102,1900959,32861,1759543
nld,1801,141973166,59679,584981,87068,231425
nzl,1801,939280336,718907,650633,66528,365399
nic,1801,928997313,527698,983677,37675,914770
ner,1801,993800742,26375,1972992,17102,1826257
nga,1801,807178198,670163,34617,57915,887335
prk,1801,126868683,1559561,1848350,81728,1953726
nor,1801,507350058,120158,1988270,108599,1888545
omn,1801,1193194323,1381553,1514025,11515,804697
pak,1801,300915406,692385,1800500,40559,1962259
pan,1801,482691045,39465,1000267,117249,957044
png,1801,462541913,1897397,1142138,53692,1964154
pry,1801,924023467,1041549,653738,129579,1756213
per,1801,1283878034,559162,59814,59763,64347
phl,1801,72457909,1001395,450169,124443,1391893
pol,1801,429642362,1241180,30459,42411,311703
prt,1801,1234617212,220799,842436,110530,160273
qat,1801,705620560,1148472,6658,107992,695817
rou,1801,809693867,157414,438896,123967,1553300
rus,1801,7316685,591069,293172,81920,1054282
rwa,1801,822367176,942424,1373502,5657,31854
sau,1801,1383643907,293157,1084489,63845,1989050
sen,1801,1292525500,471411,268466,99599,1361375
srb,1801,601653714,1411989,1253177,91847,348726
sle,1801,281731617,1797609,1562119,74485,1344509
sgp,1801,260825668,138157,344574,13829,1253506
svk,1801,844869320,201017,1331460,129961,1013539
svn,1801,644839199,878644,1819085,18420,61429
slb,1801,274411056,444324,1229408,47818,793634
som,1801,111646202,1930629,280719,7380,323024
zaf,1801,350532750,1973674,1216796,55484,1540856
kor,1801,137495907,892690,134949,126169,457526
sds,1801,394638856,996062,990122,60548,1152249
esp,1801,792594926,1608834,714574,100334,1815435
lka,1801,1081644079,1324862,1360150,32604,1672215
sdn,1801,149804420,134388,1709680,59074,1020615
sur,1801,1393972597,470320,791179,96171,1334243
swz,1801,767195324,616486,1116374,117924,1147315
swe,1801,727627864,1800801,292761,116386,183039
che,1801,726826627,898979,1245098,3316,1971769
syr,1801,1370762898,572475,1228801,11447,1765150
tjk,1801,502694349,500400,1719184,28556,1613331
tza,1801,345939053,439195,1573077,62574,1230726
tha,1801,987595108,396620,1910133,104784,1510217
tls,1801,370714999,1281778,236073,6112,1973682
tgo,1801,771424745,1209017,405907,89909,1290683
tto,1801,523751977,1651089,391908,100501,1125500
tun,1801,562987361,3878,815010,56701,1824525
tur,1801,1075933257,435455,1273176,62247,1135252
tkm,1801,370861076,523132,1114190,106442,924139
uga,1801,638787260,481764,1608262,126253,847175
ukr,1801,427015464,498605,1345439,96528,1865387
are,1801,278720433,1592143,1476582,130139,684653
gbr,1801,806864844,1987157,1321175,37060,138090
usa,1801,898101021,1548080,480011,94016,1642079
ury,1801,55403316,1880800,1619636,115530,206855
uzb,1801,1399926163,1269494,1913989,43985,1609145
ven,1801,113855568,153381,552246,65625,608281
vnm,1801,758609627,239667,1836752,63910,601163
pse,1801,801113083,1956613,1671190,14506,1781276
yem,1801,818488422,1653241,102275,95554,271394
zmb,1801,937354673,541737,1504943,114658,809854
zwe,1801,780339318,1981269,1684637,103677,1722295
afg,1802,1133119199,1229865,1423371,88628,1333932
alb,1802,1041005577,544665,1080402,21291,1329328
dza,1802,695449157,34105,1496656,32493,481994
ago,1802,976776972,1460460,1504783,80072,222092
arg,1802,470151498,215055,1700145,61439,291666
arm,1802,19938349,1809065,1133392,49174,1640242
aus,1802,299549314,1235908,1505588,108426,1238600
aut,1802,1036464634,1739117,1409755,51650,219303
aze,1802,872298907,1932305,1254313,48668,1473817
bhr,1802,710623478,4266,123263,7428,1662662
bgd,1802,1093580351,1007303,1040538,10963,1646616
blr,1802,568664583,483449,250982,130229,1994699
bel,1802,1297601489,635490,742193,126320,1008049
ben,1802,370295695,1988819,1817923,91149,214200
btn,1802,201870513,1272970,1008639,61309,1294119
bol,1802,1147791411,214444,817132,91568,1598816
bih,1802,926929287,779763,1152889,52416,1399672
bwa,1802,353475716,1229264,517506,45924,41587
bra,1802,27286602,1570158,1312440,26585,1198098
bgr,1802,791757345,1873369,404539,30830,868698
bfa,1802,1329976863,1715456,792038,93655,237193
bdi,1802,535851154,1543604,361497,6442,578194
khm,1802,692437414,1196347,950655,90430,1546253
cmr,1802,734979409,1742859,1322693,118740,398042
can,1802,1173564853,487729,562598,9453,1143466
cpv,1802,217376866,384287,313645,89977,224961
caf,1802,793091175,733848,1839760,21330,136383
tcd,1802,1391073298,383689,1628202,3834,1624613
chl,1802,502465171,327091,837766,26650,1468139
chn,1802,838777016,1331253,369452,66840,1837712
col,1802,339046632,381554,173825,15712,413577
com,1802,754065437,1964067,1718512,37646,1312576
cod,1802,640547404,874840,111415,129331,1341386
cog,1802,1209447022,1598901,1087451,93477,688928
cri,1802,746244741,1941785,632571,80408,221354
civ,1802,902657448,907927,705937,99700,1923390
cub,1802,350037392,1594029,1521510,55903,1847136
cyp,1802,525408551,1302767,1401660,58261,299191
cze,1802,837315443,1085285,1728354,29533,536215
dnk,1802,225876745,1601124,1403949,52201,686077
dji,1802,719432996,93140,1996882,59792,969165
dom,1802,1260316380,1254282,149842,11309,428971
ecu,1802,469302526,524466,1689917,108022,1529861
egy,1802,1168031301,372558,1997934,33504,1022102
slv,1802,454166188,1317620,947726,122906,1353651
gnq,1802,1312219446,445433,1718090,58910,1295873
eri,1802,990734656,388994,499444,22413,238316
est,1802,374656173,1534337,772397,17238,1969204
eth,1802,822885454,581080,267243,81703,263463
fji,1802,203890977,1705578,223280,36258,542281
fin,1802,926390042,1986354,869953,77412,239536
fra,1802,753944378,569661,1679529,4826,1020439
gab,1802,288978841,1027467,767533,94763,1955444
gmb,1802,6281428,1936101,57687,53667,412379
geo,1802,1044259086,1050162,1958290,114554,1938583
deu,1802,190634018,431079,1176941,8812,1194557
gha,1802,1267037344,976143,1751328,21623,643572
grc,1802,65355732,1466215,1979520,130077,1537817
gtm,1802,526144426,176548,1971074,76257,1437919
gin,1802,937869042,250536,430753,67679,1739756
gnb,1802,697529227,240380,638334,10274,30732
guy,1802,954417728,35140,559841,119011,583046
hti,1802,486995284,299724,1179250,31211,153063
hnd,1802,744042872,354676,1047516,73474,800679
hun,1802,760305076,905159,1903293,54651,1520227
ind,1802,856106335,1598077,1890222,23450,275827
idn,1802,312449964,1674684,1369420,101816,560849
irn,1802,458086075,1796198,1980570,104706,1223960
irq,1802,1255659987,1758148,911591,114323,401963
irl,1802,1115874847,840028,24708,110687,1986456
isr,1802,453150414,819424,1348530,123299,1879674
ita,1802,1044501708,1593418,645179,94146,492875
jam,1802,518053641,1094344,1222545,130249,1842104
jpn,1802,740337985,1794908,671798,21518,787254
jor,1802,1048799314,1933633,1861147,66044,636881
kaz,1802,111337676,79845,1177918,122353,391773
ken,1802,961976070,985462,1712355,14244,183255
kwt,1802,352602802,26540,1063458,44760,854616
kgz,1802,228531957,1395860,666548,19783,1401708
lao,1802,818818790,469788,524439,70252,1034971
lva,1802,93640585,1900914,1124679,120414,997480
lbn,1802,1090301354,944103,150838,31840,640651
lso,1802,422096094,182049,863858,75292,112419
lbr,1802,325695480,1370686,645884,50040,1196370
lby,1802,1012040389,336009,431525,65406,675719
ltu,1802,1038936291,269318,1424341,61126,106442
lux,1802,773904176,1375499,932768,42875,1052847
mkd,1802,558523449,1435239,163534,39534,1759647
mdg,1802,1333068682,822784,1040271,71394,383859
mwi,1802,507430260,1355400,1336774,87878,518983
mys,1802,1051399714,1334215,545941,30124,385555
mli,1802,852941375,749843,71006,105905,1510723
mrt,1802,10085056,1073397,1916251,122718,647176
mus,1802,230599240,1429857,1886929,5714,346789
mex,1802,630840131,875833,509918,113990,1162815
mda,1802,215324686,855523,951054,35464,1686118
mng,1802,359521823,1123422,597669,105140,963210
mne,1802,877572122,1878706,27071,60537,95496
mar,1802,635244808,238850,731126,127679,1551285
moz,1802,855126701,512588,918646,14828,468024
mmr,1802,1341866881,213494,1607366,73979,1156949
nam,1802,747341610,512310,1856856,35691,1510524
npl,1802,1266790945,372494,921977,99470,1296495
nld,1802,909955070,1365553,1193797,50396,1168077
nzl,1802,355523051,141215,704712,65921,1740303
nic,1802,328258527,742310,123052,27073,605458
ner,1802,1130328832,1866612,741600,109937,1395496
nga,1802,247785296,1987276,1329109,65061,1895288
prk,1802,530563979,1709280,1828789,120051,1144270
nor,1802,1289031563,781654,1313622,125931,1868437
omn,1802,202350058,2475,1019585,50992,971446
pak,1802,1110401779,1683341,59188,5194,1733470
pan,1802,1297104408,1736758,17048,128915,766713
png,1802,463454642,1823167,943286,76238,132521
pry,1802,1371426204,1346720,1308975,86612,731973
per,1802,1314280228,1806259,345374,76487,1671773
phl,1802,416619452,1154104,1056357,69621,1851316
pol,1802,845001577,271233,478912,65979,1849121
prt,1802,728621354,205922,1066450,90226,698492
qat,1802,1117101979,708624,794175,12705,1192610
rou,1802,486474878,528509,1306223,59545,1070637
rus,1802,1384600936,1676920,1062412,106023,1246033
rwa,1802,685106207,109395,1209437,126145,65345
sau,1802,163097347,1100869,417764,18072,82356
sen,1802,655784427,134635,372400,51121,1038106
srb,1802,1042583638,1728106,101363,49498,806711
sle,1802,978291388,1144002,698693,93416,1293435
sgp,1802,1056426139,1155023,40656,57383,881773
svk,1802,480944899,568728,283704,24914,1371916
svn,1802,649316427,1526932,1931042,30781,1353142
slb,1802,1399605403,1224381,1710564,89995,1633293
som,1802,1021547607,611069,514050,98799,140189
zaf,1802,17851810,1674999,1386198,17726,1321690
kor,1802,706052114,625232,1136921,72381,119368
sds,1802,1117519354,1700106,210635,73611,1602678
esp,1802,47896478,135445,1186746,105020,1668616
lka,1802,505540837,640615,111509,103828,1664887
sdn,1802,478841389,1579934,497228,127957,1556746
sur,1802,729225213,1738545,692056,38571,890229
swz,1802,752372816,1485148,552382,10997,1548176
swe,1802,1288720951,1087175,482324,110443,1523355
che,1802,630019190,13311,1154867,54587,1466829
syr,1802,937462689,1663296,1615762,94455,1198893
tjk,1802,1344728691,1142086,1712850,77036,521482
tza,1802,827815461,994032,357945,45572,735808
tha,1802,985211737,1802092,1816556,16645,1523674
tls,1802,51909509,951192,1111492,44455,990244
tgo,1802,748456346,1463510,1178599,71114,1794136
tto,1802,127231194,1292410,200481,122185,719212
tun,1802,263025486,1401504,1845125,6671,1678978
tur,1802,1330387585,536670,1091972,108797,1403408
tkm,1802,545889867,1963178,1463797,29326,467108
uga,1802,874801979,1803830,1558491,51192,1444159
ukr,1802,694714962,548462,90788,60375,386141
are,1802,1360478360,1901812,358721,94448,1175472
gbr,1802,1153310605,54476,1630071,128940,1908221
usa,1802,1032213612,953954,1690263,30771,497751
ury,1802,1184313452,1012324,530916,94470,1357600
uzb,1802,1182418322,179081,517233,90667,343146
ven,1802,243510337,164293,241763,97819,1143955
vnm,1802,1128373165,1270800,1784681,125044,731254
pse,1802,461188924,702631,1233964,29564,1320718
yem,1802,1240629933,1758793,616215,18645,1297863
zmb,1802,33153679,1273538,1536721,67398,1419809
zwe,1802,431707336,1340790,193374,127487,1309522
afg,1803,1074978796,1197727,197161,69535,1632892
alb,1803,85506299,161482,875238,75088,677874
dza,1803,783101466,1881013,1813001,103413,1590935
ago,1803,1051324449,1960168,458009,97324,1792333
arg,1803,975096257,1771661,1837774,117829,581355
arm,1803,1023654023,1524902,717779,4758,1234598
aus,1803,1388867742,1252203,1723346,68034,1919133
aut,1803,205485659,1990803,1999368,76446,979995
aze,1803,1285775899,1973384,12838,71104,680847
bhr,1803,835410917,1561048,1455306,85346,435915
bgd,1803,1101858664,474929,879638,100351,880265
blr,1803,1082672271,1831199,1851279,56373,101577
bel,1803,293443907,1319624,1688431,72573,1807350
ben,1803,1154642028,804796,514704,83498,1003613
btn,1803,1040469678,511370,686554,85605,1273404
bol,1803,770797822,841963,1576708,93280,1060566
bih,1803,69276430,189674,1577602,92623,479426
bwa,1803,567636973,1390929,462712,79061,1531213
bra,1803,56616721,1635803,824335,91644,791450
bgr,1803,137781201,490812,472448,55573,427452
bfa,1803,684562255,1382326,1252619,88863,1088777
bdi,1803,942551205,278052,873192,118644,1505604
khm,1803,268968859,1204501,1673916,106866,416791
cmr,1803,405247075,135617,117333,127871,914315
can,1803,1399683154,1332641,1686992,59195,1030827
cpv,1803,172379059,1389195,519335,13649,556289
caf,1803,830698730,286191,1720579,2040,1536843
tcd,1803,640722297,1398550,1903730,87299,1843936
chl,1803,232571247,1067119,1687090,33124,1867061
chn,1803,557777247,144572,126511,118411,1494984
col,1803,225280628,811974,1191734,45560,1622410
com,1803,131962978,484674,382942,82715,696049
cod,1803,666274168,110763,296073,6690,265888
cog,1803,406905380,1590064,1049960,5630,692211
cri,1803,640634610,932457,950320,76929,195897
civ,1803,1147142426,621146,587808,88223,1340837
cub,1803,1059667433,1373031,1877120,69365,143604
cyp,1803,249067886,1097061,746059,58067,1466903
cze,1803,718974906,42596,532109,60532,563355
dnk,1803,143110010,1281485,568926,23235,1681495
dji,1803,1189082723,255444,312091,59041,1150922
dom,1803,802870214,1837014,250548,37301,1872587
ecu,1803,1224283233,754500,1539031,46526,1293660
egy,1803,848107792,974650,259729,12049,1019872
slv,1803,1293934141,1005926,1468564,76527,1137893
gnq,1803,774468639,719601,1410889,74317,1902284
eri,1803,349273164,1512796,1620670,41263,1877064
est,1803,1218133167,153236,203843,58721,1339472
eth,1803,205171624,1464478,249283,104418,1882309
fji,1803,1348548000,593915,1246306,111425,1771998
fin,1803,42065325,1944855,116830,100706,486519
fra,1803,544244614,768683,16684,66405,1614505
gab,1803,1293029946,1192849,1618020,38213,771812
gmb,1803,980123404,1091983,1910085,81140,349559
geo,1803,1379473020,1640439,113700,1738,326390
deu,1803,1272475170,376609,206689,53750,1875105
gha,1803,73004332,1447462,1586888,84538,1509972
grc,1803,1387091513,1044199,1353552,91897,317895
gtm,1803,824952597,212473,999084,6747,633678
gin,1803,946172234,951262,582997,87164,1555635
gnb,1803,163650580,15264,658571,118021,344377
guy,1803,930134940,77163,431052,37008,1391042
hti,1803,437211510,648220,938546,26644,1823284
hnd,1803,771544951,512957,1577116,38528,1426389
hun,1803,271003681,158916,106698,124303,1703134
ind,1803,43467459,730415,527004,129730,102095
idn,1803,149708703,1466017,667222,38491,577391
irn,1803,439487447,89650,313531,69648,1451245
irq,1803,702468662,976564,775870,109299,400146
irl,1803,79605511,1349346,752136,125812,253017
isr,1803,1235479939,510346,1804191,3158,73491
ita,1803,418178168,1416734,173110,110789,1025499
jam,1803,1005805395,1455264,158602,17867,572389
jpn,1803,759608556,439100,64907,851,1044239
jor,1803,952683716,590634,862661,99060,1846895
kaz,1803,332158661,821545,335696,8309,1317456
ken,1803,9006078,579449,387704,55227,1373128
kwt,1803,954466177,1524750,1901983,67255,813367
kgz,1803,728655755,474771,1942729,114351,1054205
lao,1803,1148696074,1568755,107313,94795,693712
lva,1803,435683011,860802,1511858,28531,863774
lbn,1803,1085832154,358464,331950,127770,534150
lso,1803,576801552,637041,895107,20570,293903
lbr,1803,393013908,569208,1171050,35624,916933
lby,1803,702746989,76974,994579,5968,1476889
ltu,1803,808105755,551612,1573675,103308,1968877
